x	y
2950	3226
2955	3170
2960	3198
2965	3184
2970	3156
2975	3212
2980	3142
2985	3184
2990	3198
2995	3156
3000	3073
3005	3184
3010	3101
3015	3156
3020	3031
3025	3087
3030	3156
3035	3017
3040	3142
3045	3184
3050	3184
3055	3212
3060	3351
3065	3615
3070	4004
3075	4880
3080	6507
3085	8440
3090	11026
3095	12291
3100	12221
3105	10887
3110	8495
3115	6382
3120	4644
3125	3629
3130	3198
3135	2822
3140	2809
3145	2711
3150	2586
3155	2753
3160	2628
3165	2628
3170	2544
3175	2530
3180	2461
3185	2656
3190	2558
3195	2461
3200	2544
3205	2475
3210	2489
3215	2461
3220	2447
3225	2503
3230	2489
3235	2419
3240	2447
3245	2336
